intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",67.18
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",70.51
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",73.12
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",72.43
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",66.76
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",71.49
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",65.32
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",70.45
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",73.83
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",69.07
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.33
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",73.17
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",72.58
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",74.95
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",74.38
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",74.35
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",67.85
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",69.43
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",64.92
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",68.20
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",73.12
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",70.77
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",67.50
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",70.55
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",63.08
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",69.90
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",67.55
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",63.43
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",58.54
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",63.98
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",61.53
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",63.71
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",67.38
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",64.59
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",63.24
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",69.16
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",76.67
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",79.02
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",80.95
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",76.74
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",72.10
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",72.54
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",59.48
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",60.83
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",63.53
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",65.56
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",60.13
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",63.08
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",54.93
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.97
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",63.96
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",62.69
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",59.42
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",64.70
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",60.56
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",60.03
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",62.22
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",67.61
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",57.57
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",63.92
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",73.45
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",77.51
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",76.07
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",76.91
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",66.59
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",71.45
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",65.04
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",64.84
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",67.79
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",71.19
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",64.89
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",68.03
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",65.93
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",68.76
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",72.11
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",74.53
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",62.16
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",74.72
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",57.43
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",56.91
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",56.63
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",62.72
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",51.66
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",58.72
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",159.91
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",163.22
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",152.42
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",148.37
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",138.41
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",136.97
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",159.59
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",156.97
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",152.49
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",144.64
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",141.26
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",138.37
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",156.19
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",152.50
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",150.57
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",143.43
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",142.76
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",136.42
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",163.93
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",158.61
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",153.64
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",150.68
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",142.16
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",138.41
