intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",65.04
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",66.29
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",67.21
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",67.85
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",64.96
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",64.67
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",71.44
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",72.57
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",70.27
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",71.62
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",68.52
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",69.98
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",70.26
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",72.83
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",70.94
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",71.82
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",68.97
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",69.31
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",66.48
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",69.03
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",68.49
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",68.49
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",65.82
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",66.11
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",69.19
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",71.22
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",70.36
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",70.95
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",68.33
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",68.39
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",60.08
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",59.87
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",59.98
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",60.51
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",60.27
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",61.86
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",69.11
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",72.24
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",71.45
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",71.76
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",69.51
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",68.41
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.78
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",67.17
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",65.76
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",68.10
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",63.05
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.76
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",65.30
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",61.73
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.61
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",63.95
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",57.71
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",63.55
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",67.41
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",65.58
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",65.15
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",67.20
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",61.53
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.72
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",69.88
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",69.80
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",69.18
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",69.96
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",65.14
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",67.16
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",68.37
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",67.47
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",66.81
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",68.04
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",62.71
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",65.43
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",68.29
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",65.70
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",65.04
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",67.41
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",61.56
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",66.10
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",66.34
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",64.00
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",63.41
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",65.53
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",60.37
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",64.96
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",149.44
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",150.78
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",149.64
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",147.70
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",149.07
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",143.79
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",153.47
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",153.85
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",153.06
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",149.68
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",151.89
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",144.90
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",146.18
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",148.47
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",146.88
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",144.47
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",146.40
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",139.80
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",150.43
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",153.82
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",152.56
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",149.59
