intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",71.43
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",73.51
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",74.67
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",73.37
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",70.95
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",68.36
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",79.40
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",80.14
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",77.79
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",73.19
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",70.48
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",70.20
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",78.29
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",78.48
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",78.75
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",77.11
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",74.82
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",71.59
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",72.53
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",73.95
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",74.80
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",73.86
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",72.07
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",70.43
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",73.03
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",73.35
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",73.13
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",70.58
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",68.69
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",69.00
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.86
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",65.36
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",66.71
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",67.15
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",66.82
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",65.93
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",77.61
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",80.33
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",80.77
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",77.87
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",73.37
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",69.97
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.81
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",68.84
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.90
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",65.62
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.05
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",67.86
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",68.53
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",67.69
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",66.43
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",64.99
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",64.85
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",66.39
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",70.88
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",69.72
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",68.42
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",67.62
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",67.26
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",67.32
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",73.71
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",72.76
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",71.56
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",69.34
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",68.24
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",68.52
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",74.09
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",72.75
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",71.36
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",70.35
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",70.37
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",70.15
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",71.00
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",70.77
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",70.07
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",68.29
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",66.66
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",67.03
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",72.20
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",71.78
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",70.34
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",68.25
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",67.07
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",67.51
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",150.92
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",153.20
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",151.99
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",146.03
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",139.26
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",131.42
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",158.87
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",157.68
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",150.25
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",139.52
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",132.81
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",126.47
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",161.26
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",162.99
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",160.15
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",151.85
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",143.57
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",135.07
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",158.60
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",159.73
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",157.00
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",148.44
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",139.93
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",131.81
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",137.90
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",137.17
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",136.04
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",130.97
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",127.03
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",122.63
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",108.83
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",110.10
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",111.00
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",111.28
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",110.71
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",109.98
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",159.84
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",160.25
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",155.58
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",145.39
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",136.25
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",127.11
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",123.88
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",121.41
