intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",71.39
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",71.48
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",72.18
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",70.67
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",69.42
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",68.13
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",74.22
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",73.16
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",72.60
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",71.66
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",72.38
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",71.53
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",76.75
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",75.69
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",75.03
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",72.89
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",73.15
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",72.22
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",71.95
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",72.55
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",73.11
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",71.34
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",70.48
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",69.55
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",63.26
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.49
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",63.96
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.75
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.20
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",63.17
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",58.64
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",60.20
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",58.55
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",58.22
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",59.43
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",60.11
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",74.08
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",73.55
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",73.60
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",71.88
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",71.00
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",69.97
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",67.46
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",67.02
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.57
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",65.80
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",65.49
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",64.17
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",63.67
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",63.23
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.74
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.89
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",59.97
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",58.88
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",65.83
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",65.17
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.40
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",63.71
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",62.41
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",60.69
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",68.72
