intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",71.47
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",73.32
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",73.03
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",72.94
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",72.24
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",70.83
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",76.69
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",77.62
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",76.25
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",74.12
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",72.28
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",71.94
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",78.42
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",79.72
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",78.81
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",78.75
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",77.14
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",76.31
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",70.54
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",71.64
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",72.05
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",71.04
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",69.86
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",68.73
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",79.06
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",77.77
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",78.00
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",75.22
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",73.38
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",73.15
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",71.53
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",72.25
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",72.69
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",72.17
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",70.88
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",70.34
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",77.39
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",79.29
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",78.89
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",77.91
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",76.57
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",74.78
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",77.09
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",74.81
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",74.69
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",72.77
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",69.94
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",69.91
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",67.92
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",66.87
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",67.06
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",65.15
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",64.56
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",64.51
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",73.84
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",74.14
