intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",68.80
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",67.19
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",66.90
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",67.31
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",67.44
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",67.54
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",68.80
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",67.62
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",68.94
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",69.65
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.91
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",69.99
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",80.82
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",79.26
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",78.88
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",79.45
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",79.53
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",79.51
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",70.76
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",69.55
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",69.34
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",69.85
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",69.91
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",69.89
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",64.74
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",64.32
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",63.21
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.32
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",61.98
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",61.81
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",58.18
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",58.11
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",58.66
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",58.46
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",58.35
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",58.28
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",77.10
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",74.83
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",74.14
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",74.50
