intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",66.80
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",66.59
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",66.34
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",67.51
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",65.54
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",66.00
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",73.04
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",73.30
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",72.74
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",73.80
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",71.92
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",72.34
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",71.87
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",72.40
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",71.75
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",72.80
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",70.85
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",70.71
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",69.39
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",69.76
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",69.21
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",70.29
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",68.19
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",68.07
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",68.13
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",68.47
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",67.93
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",68.93
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",66.97
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",67.03
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",65.59
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",65.51
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",65.19
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",66.22
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",64.26
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",64.80
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",69.30
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",69.71
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",69.16
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",70.23
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",68.26
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",68.08
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",72.30
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",71.48
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",71.36
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",72.54
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",70.90
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",72.77
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",64.25
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",63.07
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",63.22
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",64.44
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",62.73
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",64.64
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",68.33
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",67.37
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",67.38
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",68.63
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",66.87
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",68.50
