intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",66.80
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",65.41
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",66.09
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",67.57
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",65.65
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",66.71
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",72.73
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",73.42
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",72.81
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",71.63
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.53
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",69.62
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",71.11
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",71.30
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",71.31
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",71.46
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",69.72
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",69.39
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",66.56
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",66.22
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",66.32
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",66.85
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",64.69
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",64.97
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",65.69
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.82
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",65.51
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.15
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.00
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",63.09
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.29
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.52
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",62.81
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.33
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",61.43
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",62.17
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",70.29
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",69.98
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",70.09
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",70.81
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",68.82
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",68.79
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",72.67
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",72.41
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",72.05
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",71.04
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",68.57
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",70.82
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",63.29
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",61.60
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",62.11
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",62.77
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",60.40
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",63.31
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",65.30
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",63.64
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.21
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.14
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",62.91
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.61
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",69.71
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",67.84
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",68.48
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",69.72
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",67.36
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",70.06
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",67.05
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",66.18
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",66.42
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",66.82
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",64.72
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.54
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",68.04
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",65.85
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",66.76
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",68.21
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",66.07
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",69.29
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",66.97
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",65.59
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",66.20
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",66.98
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",65.03
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",67.56
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",136.21
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",136.50
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",136.58
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",136.61
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",135.80
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",135.87
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",138.45
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",140.45
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",139.49
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",137.42
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",136.66
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",135.94
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",141.97
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",142.99
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",143.07
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",143.06
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",142.72
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",141.66
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",132.57
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",133.83
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",133.42
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",132.70
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",132.00
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",131.24
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",129.26
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",130.11
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",129.91
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",129.62
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",128.91
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",128.41
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",111.51
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",111.15
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",111.54
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",112.12
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",111.12
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",111.53
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",142.33
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",143.32
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",143.21
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",143.01
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",142.28
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",141.36
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",132.89
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",133.70
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",133.26
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",131.70
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",130.78
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",132.24
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",124.25
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",123.98
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",124.02
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",123.77
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",122.54
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",124.78
