intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",74.56
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",78.95
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",74.74
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",72.14
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",66.61
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.31
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",70.42
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",73.50
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.59
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.47
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",68.66
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",70.68
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",69.37
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",68.19
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",67.12
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",66.98
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.56
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",70.81
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",68.98
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",70.18
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",67.26
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",61.95
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",60.25
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.74
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",76.85
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",79.38
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",80.50
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",82.03
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",80.87
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",76.73
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",74.54
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",73.22
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",69.56
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",69.62
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",70.76
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",69.80
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",68.71
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",74.96
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",77.20
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",78.41
