intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",70.2166603088
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",71.5247447968
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",77.9230632782
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",70.965819931
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",71.1121585846
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",67.6555374146
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",77.6021717072
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",203.045897675
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",201.908856201
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",176.512300873
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",171.916318512
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",144.042862702
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",110.184631348
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",182.740602875
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",158.981786346
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",156.223532105
C,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",160.637230682
C,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",166.886788177
C,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",163.27101593
C,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",161.627579498
C,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",159.946138764
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",113.370083999
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",114.386611176
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",113.91210289
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",116.355601883
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",117.05914917
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",114.190747833
B,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",112.487368774
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",160.542861938
C,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",163.441415405
C,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",161.741648865
