intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",68.29
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",68.13
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",70.30
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",70.22
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",68.68
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",66.65
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",71.52
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",71.07
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",70.02
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",69.63
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.54
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",67.80
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",77.10
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",75.97
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",75.83
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",74.86
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",72.99
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",70.81
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",66.17
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",67.37
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",67.79
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",67.30
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",67.39
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",66.23
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",62.76
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",63.57
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",63.45
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.56
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.86
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",63.36
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",59.15
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",61.20
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",60.51
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",60.10
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",61.24
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",61.90
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",72.46
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",72.38
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",73.15
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",72.44
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",70.82
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",69.24
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.04
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",67.68
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",67.13
